GEO,DGUID,Total - Shelter-cost-to-income ratio,30% to less than 50%,50% or more,affordability_30plus,affordability_50plus,ALT_GEO_CODE,GEO_NAME,TNR_SF,TNR_LF,"Population, 2021","Population percentage change, 2016 to 2021",Population density per square kilometre,Median age of the population,Average household size,      Median total income of one-person households in 2020 ($),  Renter,    'Not suitable' and 'major repairs needed',simplified_city_nm,market,municipality,starts_2020,starts_2021,Housing Target Status
South Glengarry,2021A00053501005,5180,430,230,12.7413127413127,4.44015444015444,3501005,"South Glengarry, Township (TP)",1.3,1.7,13330,1.4,22,50.4,2.4,42400,12,0,south glengarry,,,0,0,
Akwesasne (Part) 59,2021A00053501007,,,,,,,,,,,,,,,,,,akwesasne part 59,,,0,0,
South Stormont,2021A00053501011,5310,390,180,10.7344632768362,3.38983050847458,3501011,"South Stormont, Township (TP)",1.1,1.9,13570,3.5,30.3,48,2.5,44800,12,0.3,south stormont,Cornwall CA,South Stormont TP,1,3,
Cornwall,2021A00053501012,21380,3365,1335,21.9831618334892,6.24415341440599,3501012,"Cornwall, City (CY)",1.7,2.5,47845,2.7,777.9,46.4,2.2,31800,46.4,0.5,cornwall,Cornwall CA,Cornwall CY,2,51,
South Dundas,2021A00053501020,4505,445,185,13.984461709212,4.10654827968923,3501020,"South Dundas, Municipality (MU)",1.4,2.1,11044,1.8,21.2,50.8,2.4,36800,19.1,0.3,south dundas,,,0,0,
North Dundas,2021A00053501030,4305,380,175,12.8919860627178,4.0650406504065,3501030,"North Dundas, Township (TP)",1.4,1.5,11304,0.2,22.5,44.8,2.5,45200,18.4,0.3,north dundas,,,0,0,
North Stormont,2021A00053501042,2695,260,85,12.8014842300557,3.15398886827458,3501042,"North Stormont, Township (TP)",0.9,1.7,7400,7.7,14.4,39.6,2.6,42400,16.7,0,north stormont,,,0,0,
North Glengarry,2021A00053501050,4215,480,205,16.2514827995255,4.86358244365362,3501050,"North Glengarry, Township (TP)",1.5,2.2,10144,0.3,15.8,51.6,2.2,33200,21.9,0.2,north glengarry,,,0,0,
East Hawkesbury,2021A00053502001,1360,155,80,17.2794117647059,5.88235294117647,3502001,"East Hawkesbury, Township (TP)",1.1,2.2,3418,3.7,14.5,50.8,2.4,34800,13.7,0,east hawkesbury,,,0,0,
Hawkesbury,2021A00053502008,5080,790,310,21.6535433070866,6.10236220472441,3502008,"Hawkesbury, Town (T)",2.4,4.1,10194,-0.7,1009.7,54.8,1.9,30200,48.5,0.3,hawkesbury,,,0,0,
Champlain,2021A00053502010,3685,340,130,12.7544097693351,3.52781546811398,3502010,"Champlain, Township (TP)",1.8,2.8,8665,-0.5,41.9,52.4,2.3,38400,20.7,0.3,champlain,,,0,0,
