market,municipality,starts_2020,starts_2021
Barrie CMA,Barrie CY,5,12
Barrie CMA,Innisfil T,3,222
Barrie CMA,Springwater TP,8,18
Belleville CMA,Belleville CY,130,7
Belleville CMA,Quinte West CY,14,13
Belleville CMA,Stirling-Rawdon TP,0,1
Belleville CMA,Tyendinaga TP,0,0
Brantford CMA,Brant CY,17,44
Brantford CMA,Brantford CY,6,119
Greater Sudbury CMA,Greater Sudbury / Grand Sudbury CV,0,9
Greater Sudbury CMA,Markstay-Warren MU,0,0
Guelph CMA,Guelph CY,51,11
Guelph CMA,Guelph/Eramosa TP,0,5
Guelph CMA,Puslinch TP,0,1
Hamilton CMA,Burlington CY,29,3
Hamilton CMA,Grimsby T,0,0
Hamilton CMA,Hamilton C,106,186
Kingston CMA,Frontenac Islands TP,0,0
Kingston CMA,Kingston CY,13,106
Kingston CMA,Loyalist TP,0,7
Kingston CMA,South Frontenac TP,0,0
Kitchener-Cambridge-Waterloo CMA,Cambridge CY,38,45
Kitchener-Cambridge-Waterloo CMA,Kitchener CY,86,753
Kitchener-Cambridge-Waterloo CMA,North Dumfries TP,31,3
Kitchener-Cambridge-Waterloo CMA,Waterloo CY,218,12
Kitchener-Cambridge-Waterloo CMA,Wilmot TP,2,0
Kitchener-Cambridge-Waterloo CMA,Woolwich TP,6,30
London CMA,Adelaide-Metcalfe TP,0,1
London CMA,Central Elgin MU,6,11
London CMA,London CY,297,120
London CMA,Middlesex Centre MU,1,22
London CMA,Southwold TP,4,10
London CMA,St. Thomas CY,19,16
London CMA,Strathroy-Caradoc MU,2,2
London CMA,Thames Centre MU,7,13
Oshawa CMA,Clarington MU,7,29
Oshawa CMA,Oshawa CY,9,36
Oshawa CMA,Whitby T,29,33
Ottawa-Gatineau CMA (Ontario Part),Clarence-Rockland C,11,7
Ottawa-Gatineau CMA (Ontario Part),North Grenville MU,3,16
Ottawa-Gatineau CMA (Ontario Part),Ottawa CV,353,412
Ottawa-Gatineau CMA (Ontario Part),Russell TP,4,15
Peterborough CMA,Cavan Monaghan TP,1,5
Peterborough CMA,Douro-Dummer TP,0,1
Peterborough CMA,Otonabee-South Monaghan TP,0,0
Peterborough CMA,Peterborough CY,2,9
Peterborough CMA,Selwyn TP,1,4
St. Catharines-Niagara CMA,Fort Erie T,12,16
St. Catharines-Niagara CMA,Lincoln T,0,0
St. Catharines-Niagara CMA,Niagara Falls CY,25,5
St. Catharines-Niagara CMA,Niagara-on-the-Lake T,5,6
St. Catharines-Niagara CMA,Pelham T,7,11
St. Catharines-Niagara CMA,Port Colborne CY,0,0
St. Catharines-Niagara CMA,St. Catharines CY,68,9
St. Catharines-Niagara CMA,Thorold CY,14,4
St. Catharines-Niagara CMA,Wainfleet TP,6,0
St. Catharines-Niagara CMA,Welland CY,10,120
Thunder Bay CMA,Conmee TP,0,0
Thunder Bay CMA,Gillies TP,0,0
Thunder Bay CMA,Neebing MU,0,0
Thunder Bay CMA,O'Connor TP,0,0
Thunder Bay CMA,Oliver Paipoonge MU,0,1
Thunder Bay CMA,Shuniah MU,0,0
Thunder Bay CMA,Thunder Bay CY,1,0
Toronto Metro,Toronto C,1388,1933
Toronto York,Aurora T,2,15
Toronto York,East Gwillimbury T,3,23
Toronto York,Georgina T,69,0
Toronto York,King TP,7,0
Toronto York,Markham CY,6,35
Toronto York,Newmarket T,1,22
Toronto York,Richmond Hill T,3,6
Toronto York,Vaughan CY,15,20
Toronto York,Whitchurch-Stouffville T,0,29
Toronto Peel,Brampton CY,468,217
Toronto Peel,Caledon T,22,19
Toronto Peel,Mississauga CY,22,16
Toronto Other,Ajax T,8,36
Toronto Other,Bradford West Gwillimbury T,18,8
Toronto Other,Halton Hills T,0,23
Toronto Other,Milton T,156,65
Toronto Other,Mono T,0,0
Toronto Other,New Tecumseth T,1,29
Toronto Other,Oakville T,307,88
Toronto Other,Orangeville T,0,1
Toronto Other,Pickering CY,21,326
Toronto Other,Uxbridge TP,1,0
Windsor CMA,Amherstburg T,2,13
Windsor CMA,LaSalle T,2,1
Windsor CMA,Lakeshore T,0,7
Windsor CMA,Tecumseh T,0,99
Windsor CMA,Windsor CY,9,16
Chatham-Kent CA,Chatham-Kent MU,9,39
Cornwall CA,Cornwall CY,2,51
Cornwall CA,South Stormont TP,1,3
Kawartha Lakes CA,Kawartha Lakes CY,12,44
Norfolk CA,Norfolk County CY,11,27
North Bay CA,Bonfield TP,0,0
North Bay CA,Callander MU,0,0
North Bay CA,Chisholm TP,0,0
North Bay CA,East Ferris MU,1,0
North Bay CA,Nipissing TP,0,0
North Bay CA,"Nipissing, Unorganized, North Part NO",0,0
North Bay CA,North Bay CY,0,0
North Bay CA,Powassan MU,1,1
Sarnia CA,Plympton-Wyoming T,0,15
Sarnia CA,Point Edward VL,0,2
Sarnia CA,Sarnia CY,114,11
Sarnia CA,St. Clair TP,0,4
Sault Ste. Marie CA,Laird TP,0,0
Sault Ste. Marie CA,"Macdonald, Meredith and Aberdeen Additional TP",0,0
Sault Ste. Marie CA,Prince TP,0,0
Sault Ste. Marie CA,Sault Ste. Marie CY,2,6
